the_geom,MainStreet,CrossStree,Install_Da,LONG,LAT,X,Y
POINT (-73.99684617072107 40.66159141945283),4 Avenue,23 Street,06/19/2020 12:00:00 AM,-73.9968461707,40.6615914195,985125.000207,180311.99999
POINT (-73.99743010092149 40.661036988764884),4 Avenue,24 Street,06/19/2020 12:00:00 AM,-73.9974301009,40.6610369888,984963.000202,180110.000066
POINT (-73.99801402174224 40.6604715759806),4 Avenue,25 Street,06/19/2020 12:00:00 AM,-73.9980140217,40.660471576,984801.000198,179904.00015
POINT (-73.99859793254906 40.65991164974355),4 Avenue,26 Street,06/19/2020 12:00:00 AM,-73.9985979325,40.6599116497,984639.000194,179700.00023
POINT (-73.9991890419814 40.659357209205496),4 Avenue,27 Street,06/19/2020 12:00:00 AM,-73.999189042,40.6593572092,984475.000194,179497.999978
POINT (-73.99977653738873 40.658797276938515),4 Avenue,28 Street,06/19/2020 12:00:00 AM,-73.9997765374,40.6587972769,984312.000192,179294.000058
POINT (-74.00151013123855 40.65710922707288),4 Avenue,31 Street,06/19/2020 12:00:00 AM,-74.0015101312,40.6571092271,983831.00017,178678.999975
POINT (-74.00209398327121 40.65654928287149),4 Avenue,32 Street,06/19/2020 12:00:00 AM,-74.0020939833,40.6565492829,983669.000166,178475.000055
POINT (-74.00267782550279 40.65598933567044),4 Avenue,33 Street,06/19/2020 12:00:00 AM,-74.0026778255,40.6559893357,983507.000162,178271.000135
POINT (-74.00908863091365 40.64982148233724),4 Avenue,44 Street,06/19/2020 12:00:00 AM,-74.0090886309,40.6498214823,981728.000111,176024.000036
POINT (-74.0096651493547 40.6492697341431),4 Avenue,45 Street,06/19/2020 12:00:00 AM,-74.0096651494,40.6492697341,981568.000103,175823.00011
POINT (-74.01141266130708 40.64758976632505),4 Avenue,48 Street,06/19/2020 12:00:00 AM,-74.0114126613,40.6475897663,981083.000088,175211.000022
POINT (-74.01199634692924 40.64702977125614),4 Avenue,49 Street,06/19/2020 12:00:00 AM,-74.0119963469,40.6470297713,980921.000084,175007.000101
POINT (-74.01316008525934 40.64590977253834),4 Avenue,51 Street,06/19/2020 12:00:00 AM,-74.0131600853,40.6459097725,980598.000074,174599.000261
POINT (-74.01374374151882 40.64534976759506),4 Avenue,52 Street,06/19/2020 12:00:00 AM,-74.0137437415,40.6453497676,980436.00007,174395.000013
POINT (-74.0143237845207 40.64478976100402),4 Avenue,53 Street,06/19/2020 12:00:00 AM,-74.0143237845,40.644789761,980275.000064,174191.000093
